Model,Horizon,MSE_mean,MSE_std,MSE_q25,MSE_median,MSE_q75,MAE_mean,MAE_std,MAE_q25,MAE_median,MAE_q75,sMAPE_mean,sMAPE_std,SampleCount
DLinear,11,0.3598469077015501,0.6250073567880314,0.018078765301802923,0.07552773491951814,0.22441739057153937,0.44103308332299435,0.4135673990638579,0.13306371135711667,0.2747433817863464,0.47368477584520974,58.51892639014785,32.50703866599161,30
DLinear,12,0.21109683561651496,0.33547956348921526,0.022279761814035827,0.064947883934895,0.17174080182106974,0.3525863657269402,0.29961991494970014,0.14925997221867238,0.2548213992118835,0.41441167939503987,59.13962748212516,40.06632381608593,30
DLinear,13,0.31964163348671465,0.9344070820414782,0.057836137976842394,0.10477708631989645,0.1667170101300175,0.3979980528829022,0.40841052291671354,0.2404100230375925,0.323692730140686,0.4082810685068369,62.860761987381736,37.47860526616139,30
DLinear,14,0.3604440077442456,0.32281620709736414,0.07854785104938117,0.24144014291304122,0.6223062960004843,0.5213580517884284,0.3027969438754237,0.27995071803530047,0.4911097134749095,0.7882933117230734,79.67661989166298,39.622376551269184,30
DLinear,15,0.7567483892444506,0.6169638409276105,0.23100982209761933,0.5613704587285708,1.1637146430206227,0.7773704431572415,0.3971149186795865,0.4804534473101298,0.7491327789306641,1.0787546236991883,86.5855361803326,33.91622193007703,30
DLinear,16,0.7422063693072755,0.7856112952621322,0.11777799876580755,0.4436029651271739,1.124092667494538,0.734261625414046,0.45833232343851793,0.3427468097368876,0.665760810470581,1.0602057893276213,77.31144419318643,38.869138757898774,30
DLinear,17,0.4897761031305724,0.5587835989587777,0.06671372524411845,0.2706836386815705,0.7280466648617253,0.5896289013604512,0.3834244903556942,0.25758824550310766,0.520267029651006,0.8532213052113851,61.49704666956881,37.98154770345666,30
DLinear,18,0.41940396274166275,0.6289097032022312,0.038516176722800596,0.1226386300843939,0.5092356765585937,0.4998987425222851,0.41874839367634376,0.19520836997032162,0.3470541471163432,0.7135835659299579,48.08584102289297,38.12078302649122,30
DLinear,19,0.6533745605703868,1.1900792504210744,0.03560488579780283,0.2573374325356854,0.6886610513178718,0.6178112756147839,0.5301435605442208,0.18865477606455489,0.5060877069972811,0.8298436034838359,56.36042105798662,40.637634315911875,30
DLinear,20,0.8007567488613855,1.6694501516101232,0.06132549817470202,0.2579171615860384,0.8614937163456096,0.654389178045742,0.6207877802615583,0.24395047239065162,0.5078543772720155,0.9276114300409952,60.113263703663755,40.84496727617583,30
DLinear,21,0.7778251176293334,2.094451870695994,0.04427893718441625,0.19587900492859778,0.5070772127787287,0.5876860636394743,0.6688514666046925,0.21038539187113445,0.442019933716456,0.7117870190461477,50.765101537065945,41.517356955481446,30
DLinear,22,0.8727006711002236,1.7449022577972766,0.117024506342677,0.2473127683309462,0.6780349082742697,0.6804351368804962,0.6510273278855272,0.34202675886154166,0.49725620300202145,0.8216885518074035,61.65871109223051,42.256053304862164,30
DLinear,23,0.5112269171933225,1.019661146029782,0.05879217531500123,0.2309217762938155,0.5092678498094707,0.5411920880662506,0.47525460436864864,0.23907889653841652,0.4804501440207164,0.7125877239227295,55.889775851000515,32.16810864740344,30
DLinear,24,0.45755987360611733,0.7736239472601669,0.07620365856091667,0.1680699936137378,0.399693358095571,0.5158220850413565,0.4450735509030927,0.27600683205922444,0.4099417452675955,0.6316475040515264,59.45455175868965,40.611882236446064,30
PGF-Net,1,0.692924617500038,2.211150562352307,0.014680431658924875,0.1131738292283184,0.28168491165056075,0.4866463667927565,0.686897019225952,0.12109770849545784,0.33535889099438976,0.5306369341543742,48.0703330780558,52.441926876803315,30
PGF-Net,2,0.6600410876512587,1.1943396715193988,0.10692129854133531,0.25380069768017705,0.5366801923606047,0.62781282420253,0.5244624296245552,0.3265957321325938,0.5033392416954039,0.7319848503271739,62.23582842638275,44.65973279881316,30
PGF-Net,3,0.672140168808188,1.1277345498799127,0.07377213855343445,0.3063961444693136,0.6042960674899192,0.6472974331175146,0.5117376097797597,0.2712903363863626,0.5518136083285015,0.7773644005139666,61.073602653140185,50.745313359782024,30
PGF-Net,4,1.111959956990912,1.461322642020297,0.13355501445511614,0.6525284656656196,1.421964744774591,0.8740378917928726,0.6000152762720664,0.364922649669647,0.8076368588447572,1.1923924637158712,67.65833081246753,54.01397452774358,30
PGF-Net,5,0.9223686282170797,1.0434439963441715,0.18182930999000071,0.5654896530512886,1.1411140237941884,0.8109138280181278,0.5233717526399829,0.42637723784446724,0.7517855714480082,1.0680636344591776,58.5000806659145,44.796152128363474,30
PGF-Net,6,1.616187007115974,3.531341899840985,0.25515333570245635,0.4726914341953453,0.9818538344777051,0.9274842839369698,0.8843231837258758,0.5050115326563518,0.6870685053507486,0.9908012665430705,68.76920876840828,51.36163867712759,30
PGF-Net,7,0.8691548615218777,1.496312140589347,0.0819703103080301,0.1913055489656707,0.9652082432401334,0.7062344297113873,0.6189990182813028,0.2862888053178788,0.43635978238014944,0.9824344568093617,58.74079378164989,35.0884760695861,30
PGF-Net,8,0.885521099502795,2.007689327258405,0.06678545944331052,0.17265970517567053,0.6313851411187246,0.6604522563951734,0.6817755090067146,0.25795112377007795,0.41544994087219234,0.7945896730105083,66.41969528838538,47.561792700813974,30
PGF-Net,9,0.8012862184271692,2.5894914457889464,0.051697885890880924,0.1389339820767308,0.4836486011308134,0.5731853443263826,0.6993184707960307,0.2273455343484878,0.3727127640088399,0.692389117193222,65.07814204814677,46.868592191661136,30
PGF-Net,10,0.3986905202817878,0.6885802687859801,0.04053478082060283,0.12254255480335804,0.3404871473258223,0.47619864923810196,0.4217271957887668,0.20132990585962923,0.3499959076563517,0.5796316127379735,59.581748437973616,30.581999720929986,30
PGF-Net,11,0.30775953930626115,0.6361818026951419,0.025005370405047,0.03600051363844505,0.12779526234791597,0.37593451460641525,0.4149359485684259,0.15812924914360044,0.18973142256736755,0.35571410993734986,51.01469376229359,30.451236129876243,30
PGF-Net,12,0.5535499896089497,1.7708118467493024,0.008586895606506125,0.022253753593412452,0.13494004093852136,0.4006760716747102,0.6376211245550939,0.09230268024603523,0.14916347639560695,0.36733676234086354,54.549691533566744,51.36650519370357,30
PGF-Net,13,0.3351103634353744,1.0135349958038742,0.008388533153109624,0.04929602631088125,0.10206009434523486,0.34251823098250794,0.4746595421039508,0.09044391168355936,0.22185440053939814,0.31939672567844385,48.92925989180662,33.35113578681439,30
PGF-Net,14,0.21643340810396022,0.41072228737757804,0.03569141277769695,0.0898695033084632,0.17248988607433124,0.36714965689647766,0.29060199861326924,0.18878354891084484,0.29976066166559856,0.41528649393717443,68.74192126950264,43.568439427167334,30
PGF-Net,15,0.4875355078171101,0.4702460403330036,0.18364314008156712,0.38172638966473804,0.5932582758660436,0.6220815618272811,0.3225171017945762,0.4283953421990077,0.6178336169719696,0.7696008237361908,78.35948741120023,36.17935489929864,30
PGF-Net,16,0.28218100066341373,0.19671364604844005,0.14125248785171948,0.24248703567482188,0.4477997383502349,0.48180799439233446,0.22752504341822571,0.3744258787234624,0.49229348595937084,0.6690589768580029,64.45839580232618,33.05641711711065,30
PGF-Net,17,0.3652962609393537,0.519750679255438,0.07873035529128138,0.16994442123122128,0.4120055870067021,0.49800268039725126,0.3483303890281817,0.28034475258191427,0.4122348006407419,0.6418726017475128,63.9162502595424,44.61975265361346,30
