OriginIndex,Horizon,Reference,Baseline,LossDifferential
9,16,PGF-Net,DLinear,-0.663816360334599
9,17,PGF-Net,DLinear,0.4193024951674956
9,18,PGF-Net,DLinear,-0.0442723860278726
9,19,PGF-Net,DLinear,-0.2119449889700041
9,20,PGF-Net,DLinear,-4.6680885577700046e-05
9,21,PGF-Net,DLinear,-0.5613392436930975
9,22,PGF-Net,DLinear,-0.9103532574706721
9,23,PGF-Net,DLinear,-0.0186958457000605
9,24,PGF-Net,DLinear,-0.0786224152979871
10,1,PGF-Net,DLinear,-0.0136960700546114
10,2,PGF-Net,DLinear,0.0463557677888535
10,3,PGF-Net,DLinear,0.0425772123934037
10,4,PGF-Net,DLinear,-0.047742558340664695
10,5,PGF-Net,DLinear,-0.0038458376584927
10,6,PGF-Net,DLinear,0.44785371480527286
10,7,PGF-Net,DLinear,1.0387363740057816
10,8,PGF-Net,DLinear,0.9583654474516802
10,9,PGF-Net,DLinear,0.6980182502362158
10,10,PGF-Net,DLinear,0.9224434480081736
10,11,PGF-Net,DLinear,0.730135294215505
10,12,PGF-Net,DLinear,0.6903488891689241
10,13,PGF-Net,DLinear,0.3951090751336198
10,14,PGF-Net,DLinear,0.5886306655830981
10,15,PGF-Net,DLinear,0.15811874034737738
10,16,PGF-Net,DLinear,-0.009220405390155895
10,17,PGF-Net,DLinear,-0.020611698417928703
10,18,PGF-Net,DLinear,0.22691596896794342
10,19,PGF-Net,DLinear,0.1666178462448287
10,20,PGF-Net,DLinear,0.07544087255914023
10,21,PGF-Net,DLinear,-0.062431507225115423
10,22,PGF-Net,DLinear,0.013717127968052578
10,23,PGF-Net,DLinear,0.10417992594339759
10,24,PGF-Net,DLinear,-0.2476621402704451
11,1,PGF-Net,DLinear,0.0204253114058079
11,2,PGF-Net,DLinear,0.4013479700083517
11,3,PGF-Net,DLinear,0.08641703042904945
11,4,PGF-Net,DLinear,0.0592494645081788
11,5,PGF-Net,DLinear,0.6415400341466573
11,6,PGF-Net,DLinear,0.1422970234336929
11,7,PGF-Net,DLinear,-0.05384806106220788
11,8,PGF-Net,DLinear,-0.030718614248357992
11,9,PGF-Net,DLinear,-0.0541542545396379
11,10,PGF-Net,DLinear,-0.0336716690649828
11,11,PGF-Net,DLinear,-0.050506386069868
11,12,PGF-Net,DLinear,-0.0611520886288952
11,13,PGF-Net,DLinear,-0.0001466777163434488
11,14,PGF-Net,DLinear,0.0614557423160666
11,15,PGF-Net,DLinear,0.30117301960406373
11,16,PGF-Net,DLinear,0.004199831727624115
11,17,PGF-Net,DLinear,-0.07911141195163679
11,18,PGF-Net,DLinear,-0.023489891870280888
11,19,PGF-Net,DLinear,-0.23681934901535973
11,20,PGF-Net,DLinear,0.3231981373490726
11,21,PGF-Net,DLinear,0.0956627694366827
11,22,PGF-Net,DLinear,0.11713518774793508
11,23,PGF-Net,DLinear,0.33978591111768036
11,24,PGF-Net,DLinear,0.0996649171361844
12,1,PGF-Net,DLinear,0.2235482738623365
12,2,PGF-Net,DLinear,0.22985993487400103
12,3,PGF-Net,DLinear,0.2167459072060201
12,4,PGF-Net,DLinear,0.008912911317538201
12,5,PGF-Net,DLinear,-0.39606449544154343
12,6,PGF-Net,DLinear,-0.8987490915277764
12,7,PGF-Net,DLinear,-0.8861439457594317
12,8,PGF-Net,DLinear,-0.4870118308982815
12,9,PGF-Net,DLinear,-0.3890458678630282
12,10,PGF-Net,DLinear,-0.2906600816958457
12,11,PGF-Net,DLinear,0.015120749908822501
12,12,PGF-Net,DLinear,-0.1746442486855954
12,13,PGF-Net,DLinear,-0.0427442215223356
12,14,PGF-Net,DLinear,-0.0709925881275722
12,15,PGF-Net,DLinear,-0.053152582292802675
12,16,PGF-Net,DLinear,-0.2618527892864372
12,17,PGF-Net,DLinear,-0.602136749792952
12,18,PGF-Net,DLinear,-0.6682272057980803
12,19,PGF-Net,DLinear,-0.5444232319367708
12,20,PGF-Net,DLinear,0.04815274789312651
12,21,PGF-Net,DLinear,0.148707240047452
12,22,PGF-Net,DLinear,0.18975198492684947
12,23,PGF-Net,DLinear,0.06895231824138937
12,24,PGF-Net,DLinear,0.1109747183802848
13,1,PGF-Net,DLinear,0.1671345421710272
13,2,PGF-Net,DLinear,-0.058475489127235304
13,3,PGF-Net,DLinear,-0.0249053289683883
13,4,PGF-Net,DLinear,0.1173436578935405
13,5,PGF-Net,DLinear,-0.1577329950779598
13,6,PGF-Net,DLinear,0.0595813069469395
13,7,PGF-Net,DLinear,0.1554306998450829
13,8,PGF-Net,DLinear,0.23529058480404688
13,9,PGF-Net,DLinear,0.059083771822109506
13,10,PGF-Net,DLinear,-0.2970622880158352
13,11,PGF-Net,DLinear,-0.1824269074010258
13,12,PGF-Net,DLinear,-0.06685019693720173
13,13,PGF-Net,DLinear,-0.0211029645453987
13,14,PGF-Net,DLinear,0.1423779615578773
13,15,PGF-Net,DLinear,-0.01054886209264462
13,16,PGF-Net,DLinear,0.1141917539688475
13,17,PGF-Net,DLinear,0.0774714637615999
13,18,PGF-Net,DLinear,-0.14316231702303173
13,19,PGF-Net,DLinear,-0.28623718962226874
13,20,PGF-Net,DLinear,-0.28454875398172347
13,21,PGF-Net,DLinear,-0.0025682697540666257
13,22,PGF-Net,DLinear,0.12310279583440611
13,23,PGF-Net,DLinear,0.1894409591671405
13,24,PGF-Net,DLinear,0.1197048323543572
14,1,PGF-Net,DLinear,-0.0423487921894461
14,2,PGF-Net,DLinear,0.0714796634170776
14,3,PGF-Net,DLinear,0.0716305632604118
14,4,PGF-Net,DLinear,0.6065284790171479
14,5,PGF-Net,DLinear,0.6671687736292187
14,6,PGF-Net,DLinear,0.2273762694688105
14,7,PGF-Net,DLinear,-0.0641238668464984
14,8,PGF-Net,DLinear,-0.0586427691989822
14,9,PGF-Net,DLinear,-0.0298009575561418
14,10,PGF-Net,DLinear,-0.0225011937434214
14,11,PGF-Net,DLinear,-0.028024885935625903
14,12,PGF-Net,DLinear,0.13213412398040109
14,13,PGF-Net,DLinear,0.1525006948781148
14,14,PGF-Net,DLinear,-0.2166128713909845
14,15,PGF-Net,DLinear,-0.024981187824065387
