Horizon,MSE,MAE,sMAPE,Dataset,Model,OriginIndex,OriginTimestamp
20,1.6444642677777772,1.2823666666666664,111.46006818041138,UCI Household,S-Naive,8,2010-06-19 17:00:00
21,0.0175474177777777,0.1324666666666667,8.451003715812131,UCI Household,S-Naive,8,2010-06-19 17:00:00
22,0.3031236544444443,0.5505666666666665,47.59736590234989,UCI Household,S-Naive,8,2010-06-19 17:00:00
23,0.02829124,0.1682,34.64469583270138,UCI Household,S-Naive,8,2010-06-19 17:00:00
24,1.489294801111111,1.2203666666666666,105.76170277572096,UCI Household,S-Naive,8,2010-06-19 17:00:00
1,1.1780208011111108,1.0853666666666666,119.26014035751228,UCI Household,S-Naive,9,2010-06-26 17:00:00
2,1.27938721,1.1311,133.0836348676323,UCI Household,S-Naive,9,2010-06-26 17:00:00
3,0.00245025,0.0495,14.9856196328934,UCI Household,S-Naive,9,2010-06-26 17:00:00
4,0.00063504,0.0252,7.371294743984573,UCI Household,S-Naive,9,2010-06-26 17:00:00
5,1.0529496177777773,1.0261333333333331,125.43906039624058,UCI Household,S-Naive,9,2010-06-26 17:00:00
6,1.3175213611111114,1.1478333333333337,124.58168199970146,UCI Household,S-Naive,9,2010-06-26 17:00:00
7,0.029641361111111,0.1721666666666665,37.759987888730606,UCI Household,S-Naive,9,2010-06-26 17:00:00
8,0.00016129,0.0127,3.532848019850056,UCI Household,S-Naive,9,2010-06-26 17:00:00
9,0.062017601111111,0.2490333333333332,60.41809800956573,UCI Household,S-Naive,9,2010-06-26 17:00:00
10,0.3048512177777778,0.5521333333333334,96.96756734895592,UCI Household,S-Naive,9,2010-06-26 17:00:00
11,1.9654444444444543e-05,0.0044333333333333,1.226201983687801,UCI Household,S-Naive,9,2010-06-26 17:00:00
12,9.344444444444426e-05,0.0096666666666666,3.110586670965566,UCI Household,S-Naive,9,2010-06-26 17:00:00
13,0.3295525377777778,0.5740666666666667,99.95356848560446,UCI Household,S-Naive,9,2010-06-26 17:00:00
14,0.0203062499999999,0.1424999999999999,35.60867891039091,UCI Household,S-Naive,9,2010-06-26 17:00:00
15,0.0002570677777777,0.0160333333333333,3.258034985694096,UCI Household,S-Naive,9,2010-06-26 17:00:00
16,1.3937777777777608e-05,0.0037333333333333,1.1313131141720167,UCI Household,S-Naive,9,2010-06-26 17:00:00
17,0.407044,0.638,52.57375136279562,UCI Household,S-Naive,9,2010-06-26 17:00:00
18,0.6631387777777779,0.8143333333333334,56.87612021205928,UCI Household,S-Naive,9,2010-06-26 17:00:00
19,0.0794864044444444,0.2819333333333332,40.61854650661374,UCI Household,S-Naive,9,2010-06-26 17:00:00
20,0.1550784399999999,0.3937999999999999,31.55195885124605,UCI Household,S-Naive,9,2010-06-26 17:00:00
21,0.3326213377777777,0.5767333333333333,42.63886819469096,UCI Household,S-Naive,9,2010-06-26 17:00:00
22,1.19486761,1.0931,111.70229015565552,UCI Household,S-Naive,9,2010-06-26 17:00:00
23,0.221527111111111,0.4706666666666666,70.55766487189436,UCI Household,S-Naive,9,2010-06-26 17:00:00
24,0.000169,0.013,1.4937949967799442,UCI Household,S-Naive,9,2010-06-26 17:00:00
1,0.0014925344444444,0.0386333333333333,7.983468145512634,UCI Household,S-Naive,10,2010-07-03 17:00:00
2,0.1788444100000001,0.4229000000000001,51.73827018083151,UCI Household,S-Naive,10,2010-07-03 17:00:00
3,0.217373521111111,0.4662333333333333,37.41490214634169,UCI Household,S-Naive,10,2010-07-03 17:00:00
